
 Name & Views | Count | Total count
 -------------+-------+------------
	 22.0 	|   4   |	88.0
	 46.0 	|   2   |	92.0
	 47.0 	|   1   |	47.0
	 51.0 	|   3   |	153.0
	 71.0 	|   1   |	71.0
	 77.0 	|   1   |	77.0
	 79.0 	|   2   |	158.0
	 80.0 	|   1   |	80.0
	 91.0 	|   1   |	91.0
	 97.0 	|   1   |	97.0
	 99.0 	|   1   |	99.0
	 100.0 	|   1   |	100.0
	 103.0 	|   1   |	103.0
	 119.0 	|   2   |	238.0
	 146.0 	|   1   |	146.0
	 147.0 	|   1   |	147.0
	 154.0 	|   1   |	154.0
	 162.0 	|   2   |	324.0
	 168.0 	|   1   |	168.0
	 193.0 	|   1   |	193.0
	 198.0 	|   1   |	198.0
	 225.0 	|   1   |	225.0
	 250.0 	|   1   |	250.0
	 251.0 	|   1   |	251.0
	 255.0 	|   1   |	255.0
	 269.0 	|   1   |	269.0
	 288.0 	|   1   |	288.0
	 317.0 	|   1   |	317.0
	 354.0 	|   1   |	354.0
	 355.0 	|   1   |	355.0
	 359.0 	|   1   |	359.0
	 361.0 	|   1   |	361.0
	 362.0 	|   1   |	362.0
	 382.0 	|   1   |	382.0
	 384.0 	|   1   |	384.0
	 414.0 	|   1   |	414.0
	 429.0 	|   1   |	429.0
	 447.0 	|   1   |	447.0
	 450.0 	|   1   |	450.0
	 498.0 	|   1   |	498.0
	 503.0 	|   1   |	503.0
	 529.0 	|   1   |	529.0
	 535.0 	|   1   |	535.0
	 548.0 	|   1   |	548.0
	 553.0 	|   1   |	553.0
	 566.0 	|   1   |	566.0
	 569.0 	|   1   |	569.0
	 571.0 	|   1   |	571.0
	 587.0 	|   1   |	587.0
	 589.0 	|   1   |	589.0
	 607.0 	|   2   |	1214.0
	 612.0 	|   2   |	1224.0
	 613.0 	|   1   |	613.0
	 615.0 	|   1   |	615.0
	 636.0 	|   1   |	636.0
	 642.0 	|   1   |	642.0
	 657.0 	|   1   |	657.0
	 660.0 	|   1   |	660.0
	 676.0 	|   1   |	676.0
	 685.0 	|   1   |	685.0
	 687.0 	|   1   |	687.0
	 688.0 	|   1   |	688.0
	 694.0 	|   1   |	694.0
	 702.0 	|   1   |	702.0
	 707.0 	|   1   |	707.0
	 736.0 	|   1   |	736.0
	 738.0 	|   1   |	738.0
	 763.0 	|   1   |	763.0
	 768.0 	|   1   |	768.0
	 775.0 	|   1   |	775.0
	 777.0 	|   1   |	777.0
	 782.0 	|   1   |	782.0
	 784.0 	|   1   |	784.0
	 813.0 	|   1   |	813.0
	 817.0 	|   1   |	817.0
	 820.0 	|   1   |	820.0
	 821.0 	|   1   |	821.0
	 824.0 	|   1   |	824.0
	 832.0 	|   1   |	832.0
	 834.0 	|   1   |	834.0
	 858.0 	|   1   |	858.0
	 878.0 	|   1   |	878.0
	 879.0 	|   1   |	879.0
	 880.0 	|   1   |	880.0
	 923.0 	|   1   |	923.0
	 928.0 	|   1   |	928.0
	 945.0 	|   1   |	945.0
	 976.0 	|   1   |	976.0
	 984.0 	|   1   |	984.0
	 999.0 	|   1   |	999.0
moda of entry data: Number = 22.0 Freq = 4
moda of film: Film = 612.0 Views = 1224.0
mediana of entry data = 529.0
Середнє значення: 467.901
Дисперсія: 90379.67
Середнє квадратичне відхилення: 300.632
